epoch,Batch_size,lr,runtime,loss,F_measure_k
0,40,0.001,0:00:37,0.704196572303772,0.31698630663931626
1,40,0.002,0:00:36,0.716715931892395,0.31698630663931626
2,40,0.003,0:00:36,0.691185474395752,0.312125921955174
3,40,0.004,0:00:36,0.6969438791275024,0.3208636321946595
4,40,0.005,0:00:36,0.6889776587486267,0.312125921955174
5,40,0.006,0:00:35,0.6956399083137512,0.3208636321946595
6,40,0.006999999999999999,0:00:35,0.6799392700195312,0.312125921955174
7,40,0.008,0:00:36,0.6848936080932617,0.2982256986256048
8,40,0.009000000000000001,0:00:37,0.6843426823616028,0.312125921955174
9,40,0.01,0:00:36,0.6903068423271179,0.2894879883861193
10,40,0.009996997487710135,0:00:35,0.6890923976898193,0.2982256986256048
11,40,0.009987907059127003,0:00:36,0.6753037571907043,0.3208636321946595
12,40,0.009972739634120504,0:00:36,0.6723507046699524,0.2757445081982741
13,40,0.009951513691861652,0:00:37,0.6688797473907471,0.2894879883861193
14,40,0.009924255092891479,0:00:36,0.6578160524368286,0.2982256986256048
15,40,0.009890997047613967,0:00:36,0.6533778309822083,0.27796692359679154
16,40,0.009851780075834277,0:00:36,0.6405808329582214,0.27796692359679154
17,40,0.009806651957391612,0:00:36,0.6309219598770142,0.27764772073453436
18,40,0.00975566767394684,0:00:36,0.6338766813278198,0.27764772073453436
19,40,0.00969888934199581,0:00:36,0.6175236701965332,0.2726402867558307
20,40,0.009636386137189975,0:00:37,0.6070254445075989,0.28670463383627703
21,40,0.00956823421005651,0:00:36,0.6044377684593201,0.27764772073453436
22,40,0.009494516593220625,0:00:36,0.595277726650238,0.2755859039160351
23,40,0.00941532310024311,0:00:36,0.5773627758026123,0.277806759693659
24,40,0.009330750216196334,0:00:36,0.5713863968849182,0.27796692359679154
25,40,0.009240900980112052,0:00:36,0.5715078711509705,0.27796692359679154
26,40,0.009145884859444222,0:00:36,0.5685621500015259,0.2757445081982741
27,40,0.009045817616699765,0:00:36,0.5510263442993164,0.277806759693659
28,40,0.008940821168399787,0:00:35,0.5459058880805969,0.2757445081982741
29,40,0.008831023436543082,0:00:35,0.5431082844734192,0.28977371419133247
30,40,0.008716558192752868,0:00:35,0.5438429117202759,0.3021653919038705
31,40,0.008597564895296688,0:00:35,0.5271551012992859,0.29641916811621755
32,40,0.008474188519177979,0:00:35,0.5338230133056641,0.2789057166493684
33,40,0.008346579379506369,0:00:35,0.517990231513977,0.27796692359679154
34,40,0.008214892948361864,0:00:35,0.5277690291404724,0.27796692359679154
35,40,0.008079289665376077,0:00:35,0.5155320167541504,0.3068156213039901
36,40,0.00793993474226124,0:00:35,0.5101029872894287,0.27796692359679154
37,40,0.0077969979615251876,0:00:35,0.5008695125579834,0.24934972693575047
38,40,0.007650653469617526,0:00:35,0.5016087293624878,0.25900927781136784
39,40,0.007501079564758999,0:00:35,0.49749913811683655,0.2789057166493684
40,40,0.007348458479712589,0:00:35,0.49326178431510925,0.28948470047666597
41,40,0.007192976159760945,0:00:35,0.48452430963516235,0.2789057166493684
42,40,0.007034822036160714,0:00:35,0.4917686879634857,0.27796692359679154
43,40,0.006874188795349727,0:00:35,0.48119300603866577,0.25123315218874953
44,40,0.0067112721441882585,0:00:36,0.47288650274276733,0.29496528025293295
45,40,0.006546270571520364,0:00:35,0.4723515212535858,0.29170711587518344
46,40,0.006379385106345795,0:00:36,0.4679448902606964,0.2799225466179199
47,40,0.0062108190728971295,0:00:36,0.4634685516357422,0.28028240638045154
48,40,0.006040777842920519,0:00:36,0.4624654948711395,0.29452580361263314
49,40,0.005869468585461846,0:00:36,0.4586443305015564,0.25123315218874953
50,40,0.005697100014463158,0:00:36,0.4572666585445404,0.3021885835711047
51,40,0.00552388213447687,0:00:36,0.454706072807312,0.2915862508825192
52,40,0.00535002598480758,0:00:36,0.4496082663536072,0.29031692289577016
53,40,0.00517574338239317,0:00:36,0.4518188536167145,0.2541130325559483
54,40,0.005001246663738509,0:00:35,0.44485318660736084,0.2955934179415164
55,40,0.004826748426216114,0:00:35,0.4430210590362549,0.3171637371816879
56,40,0.0046524612690490175,0:00:36,0.43809396028518677,0.25123315218874953
57,40,0.004478597534291346,0:00:35,0.4359177350997925,0.29832128536517455
58,40,0.004305369048122248,0:00:36,0.43830689787864685,0.27885493228903663
59,40,0.004132986862768317,0:00:36,0.4313819110393524,0.2799225466179199
60,40,0.003961660999368969,0:00:36,0.4300476312637329,0.2710896384567335
61,40,0.0037916001920980263,0:00:36,0.4332587718963623,0.28507158191098836
62,40,0.0036230116338532917,0:00:35,0.4274503290653229,0.26350126267081686
63,40,0.0034561007238239094,0:00:36,0.4254657030105591,0.2638611224333485
64,40,0.003291070817243096,0:00:37,0.42035776376724243,0.29452580361263314
65,40,0.0031281229776311094,0:00:37,0.41934290528297424,0.2861391962398716
66,40,0.0029674557318303298,0:00:36,0.409255713224411,0.3077095154800431
67,40,0.0028092648281308717,0:00:36,0.4015287756919861,0.2861391962398716
68,40,0.002653742997781452,0:00:36,0.40687188506126404,0.27295548437246164
69,40,0.0025010797201760505,0:00:36,0.3983309268951416,0.3077095154800431
70,40,0.0023514609920024534,0:00:36,0.3971455991268158,0.2861391962398716
71,40,0.002205069100633942,0:00:36,0.40204399824142456,0.2638611224333485
72,40,0.002062082402040208,0:00:36,0.3932783901691437,0.30972678326479375
73,40,0.0019226751034880747,0:00:36,0.3893266022205353,0.31690742276935324
74,40,0.0017870170512967788,0:00:36,0.38676658272743225,0.27071195116247887
75,40,0.001655273523906397,0:00:36,0.37479543685913086,0.28507158191098836
76,40,0.0015276050305115152,0:00:36,0.3769720196723938,0.30027256156314897
77,40,0.0014041671155055168,0:00:36,0.37182334065437317,0.2942694892002985
78,40,0.0012851101689736793,0:00:36,0.3678485155105591,0.3171637371816879
79,40,0.0011705792434660361,0:00:36,0.37213870882987976,0.2864990560024033
80,40,0.0010607138772731816,0:00:36,0.3703685998916626,0.2861391962398716
81,40,0.0009556479244203603,0:00:36,0.3639751672744751,0.295953277704048
82,40,0.0008555093915869544,0:00:36,0.35988008975982666,0.2861391962398716
83,40,0.0007604202821500594,0:00:36,0.35804280638694763,0.294069047554837
84,40,0.0006704964475421749,0:00:35,0.35456278920173645,0.3077095154800431
85,40,0.0005858474461040619,0:00:35,0.3574841320514679,0.2861391962398716
86,40,0.0005065764096047937,0:00:35,0.3509533107280731,0.2942694892002985
87,40,0.00043277991759158084,0:00:35,0.35368943214416504,0.28088533568742696
88,40,0.0003645478797224605,0:00:36,0.3482801020145416,0.294069047554837
89,40,0.0003019634262252369,0:00:36,0.3451816439628601,0.294069047554837
90,40,0.000245102806616101,0:00:36,0.34177544713020325,0.30352326925648165
91,40,0.00019403529680133813,0:00:36,0.34166955947875977,0.30352326925648165
92,40,0.00014882311467531218,0:00:36,0.345296710729599,0.30352326925648165
93,40,0.00010952134431754135,0:00:36,0.3430267870426178,0.294069047554837
94,40,7.61778688812309e-05,0:00:36,0.33994224667549133,0.30352326925648165
95,40,4.8833312255032735e-05,0:00:36,0.3411121964454651,0.30352326925648165
96,40,2.7520989569090327e-05,0:00:35,0.3371471166610718,0.30352326925648165
97,40,1.2266866605683546e-05,0:00:36,0.3411635756492615,0.30352326925648165
98,40,3.0895281639270467e-06,0:00:36,0.3355952799320221,0.30352326925648165
99,40,1.5541705034038956e-10,0:00:36,0.3395366072654724,0.30352326925648165
